year,lea_name,school_code,school_name,spg_grade,spg_score
2013-14,Alamance-Burlington Schools,010303,Alamance-Burlington Middle College,A,85
2013-14,Alamance-Burlington Schools,010304,Alexander Wilson Elementary,C,67
2013-14,Alamance-Burlington Schools,010308,Altamahaw Ossipee Elem,C,67
2013-14,Alamance-Burlington Schools,010310,Broadview Middle,F,36
2013-14,Alamance-Burlington Schools,010312,Highland Elementary,B,74
2013-14,Alamance-Burlington Schools,010320,E M Yoder Elementary,C,69
2013-14,Alamance-Burlington Schools,010324,Eastern Alamance High,C,69
2013-14,Alamance-Burlington Schools,010326,Eastlawn Elementary,F,33
2013-14,Alamance-Burlington Schools,010328,Edwin M Holt Elementary,C,64
2013-14,Alamance-Burlington Schools,010340,Elon Elementary,C,66
2013-14,Alamance-Burlington Schools,010346,B Everett Jordan Elem,D,50
2013-14,Alamance-Burlington Schools,010347,Garrett Elementary,C,62
2013-14,Alamance-Burlington Schools,010348,Graham High,D,51
2013-14,Alamance-Burlington Schools,010350,Graham Middle,D,42
2013-14,Alamance-Burlington Schools,010351,Grove Park Elementary,D,48
2013-14,Alamance-Burlington Schools,010353,Hawfields Middle,C,58
2013-14,Alamance-Burlington Schools,010354,Harvey R Newlin Elementary,F,38
2013-14,Alamance-Burlington Schools,010357,Haw River Elementary,F,39
2013-14,Alamance-Burlington Schools,010358,Hillcrest Elementary,D,50
2013-14,Alamance-Burlington Schools,010360,Hugh M Cummings High,C,58
2013-14,Alamance-Burlington Schools,010362,Marvin B Smith Elementary,C,68
2013-14,Alamance-Burlington Schools,010364,North Graham Elementary,D,40
2013-14,Alamance-Burlington Schools,010372,Pleasant Grove Elementary,D,46
2013-14,Alamance-Burlington Schools,010374,R Homer Andrews Elementary,D,48
2013-14,Alamance-Burlington Schools,010380,South Graham Elementary,D,47
2013-14,Alamance-Burlington Schools,010384,South Mebane Elementary,B,73
2013-14,Alamance-Burlington Schools,010388,Southern High,C,66
2013-14,Alamance-Burlington Schools,010390,Southern Middle,C,56
2013-14,Alamance-Burlington Schools,010392,Sylvan Elementary,C,59
2013-14,Alamance-Burlington Schools,010394,Turrentine Middle,D,47
2013-14,Alamance-Burlington Schools,010396,Walter M Williams High,C,66
2013-14,Alamance-Burlington Schools,010400,Western Alamance High,C,69
2013-14,Alamance-Burlington Schools,010403,Western Middle,C,61
2013-14,Alamance-Burlington Schools,010406,Woodlawn Middle,C,65
2013-14,Alexander County Schools,020302,Alexander Central High,B,73
2013-14,Alexander County Schools,020304,Bethlehem Elementary,C,66
2013-14,Alexander County Schools,020306,East Alexander Middle,D,54
2013-14,Alexander County Schools,020308,Ellendale Elementary,C,63
2013-14,Alexander County Schools,020316,Hiddenite Elementary,C,66
2013-14,Alexander County Schools,020320,Stony Point Elementary,C,56
2013-14,Alexander County Schools,020324,Sugar Loaf Elementary,C,68
2013-14,Alexander County Schools,020328,Taylorsville Elementary,C,58
2013-14,Alexander County Schools,020330,West Alexander Middle,C,65
2013-14,Alexander County Schools,020332,Wittenburg Elementary,C,64
2013-14,Alleghany County Schools,030304,Alleghany High,B,71
2013-14,Alleghany County Schools,030308,Glade Creek Elementary,C,64
2013-14,Alleghany County Schools,030316,Piney Creek Elementary,B,80
2013-14,Alleghany County Schools,030320,Sparta Elementary,D,54
